"Cliente_ID";"Cliente";"Cliente_Contato";"Telefone";"Cidade_ID"
1;"Eintrach GS";"Albert von Einstein";"099-0977310";1
2;"Hockey Town";"Paco el Maco";"(1) 135-5333";2
3;"Shoe Chateau";"Sancho Panza";"(1) 135-5555";3
4;"Dr Jims Trousers";"Carl Montgomery";"0711-020361";4
6;"Man Kleider";"Antonio Esposito";"7675-3425";5
7;"Menàge à Trois";"Julie Binoché";"(071) 23 67 22 20";6
9;"La Legion Mercenaire";"Bernard de Gaule";"(02) 201 24 67";7
11;"Float Boat";"Carlyle Boots";"(5) 552-3745";8
12;"Douze é Dose";"Seno Duce";;9
13;"Winter Blues";"Speedy Gonzales";"(5) 555-2933";10
14;"Fourteen Clothes";"Pit Forsight";;11
15;"Quinze e etc.";"Seu Quinzin";;12
16;"The Sharped Dressed Man";"Ian Wright";"089-0877310";13
17;"Gluderstedt";"Lars von Holstein";"(21) 555-3412";14
18;"Aujourd´hui";"Pierre Chardin";"(11) 555-7647";15
19;"Th Fashing";"Greg Thatcher";"0555-09876";16
20;"Ski Store";"Lars Saalbach";"(21) 555-4252";17
23;"Champes";"Jaques Wilneuve";"(14) 555-8122";18
25;"Halle Köln";"Dieter Köln";"(21) 555-0091";19
26;"Le Sais de Rión";"Jeanne d´Anjou";"(11) 555-9857";15
27;"Il Pantaloni di la Cammorra";"Don Corleone";"0221-0644327";20
28;"Red Bull Salzburg World";"Vitor Baiha";"(514) 555-8054";21
29;"Almost a Cougar";"Mrs. Beaty";;22
30;"Third percent of Age";"Candice McCarter";;23
31;"Unlike you want nothing";"Phill Young";;8
32;"The Corner Store";"Ross The Boss";"(604) 555-3392";22
36;"Fill the Phill and Phat";;;23
37;"Stradivarius";"Robert Bolero";"035-640230";24
38;"King Size Clothes";"Al Yankovic";"0372-035188";25
39;"Noch Einmal GMBH";"Dieter Rummernige";"981-443655";26
40;"La Boheme";"Philippe de Laval";"61.77.61.10";27
41;"Design";"Louise Davu";"78.32.54.86";28
42;"Fourty Two ";;;29
44;"Warp AG";"Klaus Deum";"91.24.45.40";30
45;"Bobby Socks";"Vincent Vega";"(514) 555-8054";23
46;"Meia Idade";;;31
47;"Quase nos enta !";;;32
48;"Too Hot 4U";"Andrea Pamelsson";"(503) 555-9573";33
49;"La Moda d'il Futuri";"Luca Brassi";"40.32.21.21";34
50;"Blue Tomato Shop";"Marco Van Deum";"26.47.15.10";35
53;"Fawtly Towers";"John Cleez";"0241-039123";13
56;"Casual Clothing";"Herman Schlusse";"40.67.88.88";36
57;"Tentando ser Sexy ";;;37
58;"La Moda Pasada";"Francisca Font Barceló";"(5) 555-3932";10
59;"Extrawagens";"Herbert Bernstorf";"0711-020361";21
60;"Mammut Sports Group";"Leopoldo Samba";"089-0877310";38
62;"Roupas e Trajes de Bom Gosto";;;37
63;"Grunewald";"George Essen";"0621-08460";39
64;"É nóis Mano !";;;37
65;"Somos nosostros !";"Artur Piazola";"83-30303982";40
66;"Sport Shop";"Anna Bella";"0342-023176";41
67;"Fiquei bem meu bem?";;;9
68;"Xique no úrtimo !";;;31
