"Pedido_ID";"Cliente_ID";"Vendedor_ID";"Data_Venda";"Meta_ID";"% Frete";"Cancelado";"Data_Remessa";"Periodo"
11306;49;"O1";"2019-01-01";"O1|43466";4.4;1;;"2019-01-01"
11307;510;"O1";"2019-01-01";"O1|43466";3.7;0;"2019-01-29";"2019-01-01"
11308;405;"O14";"2019-01-01";"O14|43466";3.0;0;"2019-01-08";"2019-01-01"
11309;424;"O14";"2019-01-01";"O14|43466";2.4;0;"2019-01-08";"2019-01-01"
11310;59;"O3";"2019-01-01";"O3|43466";4.0;0;"2019-01-05";"2019-01-01"
11311;438;"O3";"2019-01-01";"O3|43466";3.0;0;"2019-01-03";"2019-01-01"
11312;114;"O12";"2019-01-01";"O12|43466";3.0;1;;"2019-01-01"
11313;305;"O13";"2019-01-01";"O13|43466";3.5;0;"2019-01-06";"2019-01-01"
11314;389;"O4";"2019-01-01";"O4|43466";3.2;0;"2019-01-04";"2019-01-01"
11315;131;"O7";"2019-01-01";"O7|43466";2.8;1;;"2019-01-01"
11316;138;"O13";"2019-01-01";"O13|43466";3.7;0;"2019-01-04";"2019-01-01"
11317;222;"O2";"2019-01-01";"O2|43466";2.9;0;"2019-01-07";"2019-01-01"
11318;209;"O8";"2019-01-01";"O8|43466";4.0;0;"2019-01-08";"2019-01-01"
11319;268;"O9";"2019-01-01";"O9|43466";2.5;0;"2019-01-08";"2019-01-01"
11320;405;"O8";"2019-01-01";"O8|43466";2.7;0;"2019-01-03";"2019-01-01"
11321;50;"O9";"2019-01-01";"O9|43466";3.0;1;;"2019-01-01"
11322;202;"O8";"2019-01-01";"O8|43466";4.4;0;"2019-01-06";"2019-01-01"
11323;440;"O9";"2019-01-01";"O9|43466";3.0;1;;"2019-01-01"
11324;164;"O11";"2019-01-01";"O11|43466";2.8;0;"2019-01-08";"2019-01-01"
11325;178;"O2";"2019-01-01";"O2|43466";2.2;0;"2019-01-08";"2019-01-01"
11326;189;"O10";"2019-01-01";"O10|43466";2.4;0;"2019-01-04";"2019-01-01"
11327;194;"O5";"2019-01-01";"O5|43466";2.9;1;;"2019-01-01"
11328;198;"O6";"2019-01-01";"O6|43466";3.5;0;"2019-01-07";"2019-01-01"
11329;58;"O14";"2019-01-05";"O14|43466";3.2;0;"2019-01-08";"2019-01-01"
11330;94;"O14";"2019-01-05";"O14|43466";4.2;0;"2019-01-11";"2019-01-01"
11331;100;"O9";"2019-01-05";"O9|43466";4.4;0;"2019-01-08";"2019-01-01"
11332;190;"O5";"2019-01-05";"O5|43466";2.4;0;"2019-01-07";"2019-01-01"
11333;428;"O1";"2019-01-06";"O1|43466";4.5;1;;"2019-01-01"
11334;136;"O11";"2019-01-08";"O11|43466";3.1;0;"2019-01-12";"2019-01-01"
11335;158;"O2";"2019-01-08";"O2|43466";3.4;0;"2019-01-24";"2019-01-01"
11336;14;"O14";"2019-01-11";"O14|43466";4.2;0;"2019-01-18";"2019-01-01"
11337;408;"O14";"2019-01-11";"O14|43466";3.1;0;"2019-01-13";"2019-01-01"
11338;511;"O14";"2019-01-11";"O14|43466";3.7;0;"2019-01-18";"2019-01-01"
11339;514;"O14";"2019-01-11";"O14|43466";2.4;1;;"2019-01-01"
11340;145;"O14";"2019-01-11";"O14|43466";4.6;0;"2019-01-17";"2019-01-01"
11341;420;"O14";"2019-01-11";"O14|43466";3.9;0;"2019-01-14";"2019-01-01"
11342;424;"O14";"2019-01-11";"O14|43466";2.4;0;"2019-01-18";"2019-01-01"
11343;6;"O14";"2019-01-11";"O14|43466";3.1;0;"2019-01-16";"2019-01-01"
11344;415;"O14";"2019-01-11";"O14|43466";3.7;0;"2019-01-14";"2019-01-01"
11345;206;"O14";"2019-01-11";"O14|43466";2.5;0;"2019-01-15";"2019-01-01"
11346;208;"O14";"2019-01-11";"O14|43466";3.8;0;"2019-01-13";"2019-01-01"
11347;278;"O14";"2019-01-11";"O14|43466";4.2;0;"2019-01-16";"2019-01-01"
11348;64;"O12";"2019-01-11";"O12|43466";3.9;0;"2019-01-16";"2019-01-01"
11349;366;"O11";"2019-01-11";"O11|43466";4.2;1;;"2019-01-01"
11350;318;"O7";"2019-01-11";"O7|43466";3.1;1;;"2019-01-01"
11351;139;"O11";"2019-01-11";"O11|43466";3.7;0;"2019-01-15";"2019-01-01"
11352;165;"O12";"2019-01-11";"O12|43466";2.7;0;"2019-02-12";"2019-01-01"
11353;196;"O6";"2019-01-11";"O6|43466";2.6;0;"2019-02-05";"2019-01-01"
11354;41;"O3";"2019-01-12";"O3|43466";2.3;0;"2019-01-16";"2019-01-01"
11355;72;"O3";"2019-01-12";"O3|43466";2.4;0;"2019-02-14";"2019-01-01"
11356;188;"O13";"2019-01-12";"O13|43466";2.6;0;"2019-02-15";"2019-01-01"
11357;78;"O8";"2019-01-13";"O8|43466";4.4;0;"2019-01-15";"2019-01-01"
11358;120;"O11";"2019-01-14";"O11|43466";3.1;1;;"2019-01-01"
11359;514;"O2";"2019-01-14";"O2|43466";2.4;0;"2019-02-11";"2019-01-01"
11360;149;"O2";"2019-01-14";"O2|43466";3.1;1;;"2019-01-01"
11361;221;"O9";"2019-01-14";"O9|43466";3.7;0;"2019-01-20";"2019-01-01"
11362;155;"O11";"2019-01-14";"O11|43466";3.1;0;"2019-01-20";"2019-01-01"
11363;452;"O5";"2019-01-14";"O5|43466";3.0;0;"2019-01-21";"2019-01-01"
11364;131;"O4";"2019-01-15";"O4|43466";2.8;0;"2019-01-20";"2019-01-01"
11365;199;"O10";"2019-01-15";"O10|43466";3.5;0;"2019-01-26";"2019-01-01"
11366;191;"O5";"2019-01-16";"O5|43466";2.4;0;"2019-01-23";"2019-01-01"
11367;251;"O2";"2019-01-17";"O2|43466";3.1;1;;"2019-01-01"
11368;156;"O13";"2019-01-18";"O13|43466";3.4;0;"2019-01-22";"2019-01-01"
11369;37;"O3";"2019-01-19";"O3|43466";3.7;0;"2019-01-23";"2019-01-01"
11370;39;"O3";"2019-01-19";"O3|43466";4.7;0;"2019-02-15";"2019-01-01"
11371;405;"O1";"2019-01-19";"O1|43466";3.1;0;"2019-02-06";"2019-01-01"
11372;164;"O11";"2019-01-19";"O11|43466";2.8;0;"2019-01-21";"2019-01-01"
11373;114;"O12";"2019-01-20";"O12|43466";3.0;0;"2019-01-23";"2019-01-01"
11374;146;"O2";"2019-01-20";"O2|43466";2.9;1;;"2019-01-01"
11375;216;"O14";"2019-01-21";"O14|43466";4.5;0;"2019-01-27";"2019-01-01"
11376;289;"O14";"2019-01-21";"O14|43466";4.5;0;"2019-01-27";"2019-01-01"
11377;77;"O8";"2019-01-23";"O8|43466";3.8;0;"2019-01-27";"2019-01-01"
11378;132;"O11";"2019-01-23";"O11|43466";3.0;0;"2019-01-30";"2019-01-01"
11379;521;"O11";"2019-01-23";"O11|43466";2.8;0;"2019-01-30";"2019-01-01"
11380;130;"O4";"2019-01-24";"O4|43466";3.3;1;;"2019-01-01"
11381;199;"O6";"2019-01-24";"O6|43466";3.5;0;"2019-01-29";"2019-01-01"
11382;66;"O9";"2019-01-25";"O9|43466";4.4;0;"2019-01-31";"2019-01-01"
11383;148;"O7";"2019-01-26";"O7|43466";3.1;0;"2019-02-01";"2019-01-01"
11384;170;"O11";"2019-01-28";"O11|43466";1.5;0;"2019-02-01";"2019-01-01"
11385;423;"O5";"2019-01-28";"O5|43466";2.4;0;"2019-02-01";"2019-01-01"
11386;190;"O10";"2019-01-28";"O10|43466";2.4;0;"2019-02-04";"2019-01-01"
11387;66;"O2";"2019-01-29";"O2|43466";2.9;0;"2019-02-04";"2019-01-01"
11388;178;"O2";"2019-01-29";"O2|43466";2.2;0;"2019-02-05";"2019-01-01"
11389;192;"O5";"2019-01-30";"O5|43466";2.4;0;"2019-02-01";"2019-01-01"
11390;157;"O13";"2019-01-31";"O13|43466";3.4;0;"2019-02-02";"2019-01-01"
11391;174;"O11";"2019-01-31";"O11|43466";2.7;0;"2019-02-26";"2019-01-01"
11392;53;"O3";"2019-02-01";"O3|43497";2.4;0;"2019-02-06";"2019-02-01"
11393;79;"O3";"2019-02-01";"O3|43497";3.6;0;"2019-02-04";"2019-02-01"
11394;229;"O14";"2019-02-02";"O14|43497";2.6;0;"2019-02-04";"2019-02-01"
11395;3;"O14";"2019-02-02";"O14|43497";4.2;0;"2019-02-07";"2019-02-01"
11396;228;"O14";"2019-02-02";"O14|43497";3.2;0;"2019-02-07";"2019-02-01"
11397;449;"O14";"2019-02-02";"O14|43497";3.8;0;"2019-02-08";"2019-02-01"
11398;48;"O14";"2019-02-02";"O14|43497";3.1;0;"2019-02-08";"2019-02-01"
11399;84;"O14";"2019-02-02";"O14|43497";4.0;0;"2019-02-04";"2019-02-01"
11400;413;"O14";"2019-02-02";"O14|43497";4.6;0;"2019-02-07";"2019-02-01"
11401;229;"O14";"2019-02-02";"O14|43497";2.6;0;"2019-02-05";"2019-02-01"
11402;45;"O1";"2019-02-02";"O1|43497";3.9;0;"2019-02-04";"2019-02-01"
11403;93;"O11";"2019-02-02";"O11|43497";3.3;0;"2019-02-06";"2019-02-01"
11404;231;"O8";"2019-02-02";"O8|43497";3.0;0;"2019-02-07";"2019-02-01"
11405;101;"O12";"2019-02-04";"O12|43497";3.9;1;;"2019-02-01"
11406;206;"O9";"2019-02-05";"O9|43497";2.5;0;"2019-02-07";"2019-02-01"
11407;163;"O11";"2019-02-05";"O11|43497";2.8;0;"2019-02-08";"2019-02-01"
11408;181;"O11";"2019-02-05";"O11|43497";2.2;1;;"2019-02-01"
11409;182;"O11";"2019-02-05";"O11|43497";2.8;0;"2019-02-08";"2019-02-01"
11410;65;"O6";"2019-02-06";"O6|43497";2.6;0;"2019-02-08";"2019-02-01"
11411;290;"O2";"2019-02-06";"O2|43497";4.6;0;"2019-02-08";"2019-02-01"
11412;200;"O6";"2019-02-06";"O6|43497";3.5;0;"2019-02-19";"2019-02-01"
11413;447;"O4";"2019-02-07";"O4|43497";3.8;0;"2019-02-10";"2019-02-01"
11414;472;"O5";"2019-02-07";"O5|43497";4.5;0;"2019-02-10";"2019-02-01"
11415;188;"O13";"2019-02-07";"O13|43497";2.6;0;"2019-02-12";"2019-02-01"
11416;189;"O10";"2019-02-08";"O10|43497";2.4;0;"2019-02-12";"2019-02-01"
11417;68;"O7";"2019-02-09";"O7|43497";2.8;0;"2019-02-13";"2019-02-01"
11418;71;"O1";"2019-02-09";"O1|43497";2.7;1;;"2019-02-01"
11419;215;"O14";"2019-02-10";"O14|43497";3.1;0;"2019-02-12";"2019-02-01"
11420;282;"O14";"2019-02-10";"O14|43497";4.2;0;"2019-02-13";"2019-02-01"
11421;221;"O5";"2019-02-10";"O5|43497";3.7;0;"2019-02-14";"2019-02-01"
11422;146;"O2";"2019-02-11";"O2|43497";2.9;0;"2019-03-02";"2019-02-01"
11423;378;"O3";"2019-02-12";"O3|43497";3.0;0;"2019-02-16";"2019-02-01"
11424;476;"O3";"2019-02-12";"O3|43497";2.5;0;"2019-02-14";"2019-02-01"
11425;120;"O11";"2019-02-13";"O11|43497";3.1;0;"2019-02-15";"2019-02-01"
11426;155;"O11";"2019-02-13";"O11|43497";3.1;0;"2019-02-18";"2019-02-01"
11427;15;"O5";"2019-02-14";"O5|43497";2.4;0;"2019-02-20";"2019-02-01"
11428;220;"O2";"2019-02-14";"O2|43497";3.8;1;;"2019-02-01"
11429;164;"O11";"2019-02-14";"O11|43497";2.8;1;;"2019-02-01"
11430;178;"O2";"2019-02-14";"O2|43497";2.2;0;"2019-02-20";"2019-02-01"
11431;194;"O6";"2019-02-15";"O6|43497";2.9;0;"2019-02-21";"2019-02-01"
11432;46;"O7";"2019-02-16";"O7|43497";2.8;0;"2019-02-23";"2019-02-01"
11433;89;"O1";"2019-02-16";"O1|43497";3.6;0;"2019-02-21";"2019-02-01"
